PLAYER_NAME,TEAM_ID,POSITION,CURRENT_PRICE,SCORE
TotoP1,1,P,17000000,21.0
TotoP2,2,P,17000000,21.0
TotoP3,3,P,17000000,21.0
TotoP4,4,P,17000000,20.0
TotoP5,5,P,17000000,20.0
TotoP11,1,P,1000000,2.0
TotoP21,2,P,1000000,2.0
TotoP31,3,P,1000000,2.0
TotoP41,4,P,1000000,2.0
TotoP51,5,P,1000000,2.0
TotoP12,1,P,1000000,2.0
TotoP22,2,P,1000000,2.0
TotoP32,3,P,1000000,2.0
TotoP42,4,P,1000000,2.0
TotoP52,5,P,1000000,2.0
TotoA1,1,A,10000000,20.0
TotoA2,2,A,10000000,18.0
TotoA3,3,A,10000000,18.0
TotoA4,4,A,10000000,18.0
TotoA5,5,A,10000000,18.0
TotoA11,1,A,10000000,17.0
TotoA21,2,A,10000000,17.0
TotoA31,3,A,10000000,17.0
TotoA41,4,A,10000000,17.0
TotoA51,5,A,10000000,17.0
TotoA12,1,A,10000000,16.0
TotoA22,2,A,10000000,16.0
TotoA32,3,A,10000000,16.0
TotoA42,4,A,10000000,16.0
TotoA52,5,A,10000000,16.0
TotoA13,1,A,10000000,15.0
TotoA23,2,A,10000000,15.0
TotoA33,3,A,10000000,15.0
TotoA43,4,A,10000000,15.0
TotoA53,5,A,10000000,15.0
TotoI1,1,I,10000000,20.0
TotoI2,2,I,10000000,20.0
TotoI3,3,I,10000000,18.0
TotoI4,4,I,10000000,18.0
TotoI5,5,I,10000000,18.0
TotoI11,1,I,10000000,17.0
TotoI21,2,I,10000000,17.0
TotoI31,3,I,10000000,17.0
TotoI41,4,I,10000000,17.0
TotoI51,5,I,10000000,17.0
TotoI12,1,I,10000000,16.0
TotoI22,2,I,10000000,16.0
TotoI32,3,I,10000000,16.0
TotoI42,4,I,10000000,16.0
TotoI52,5,I,10000000,16.0
TotoI13,1,I,10000000,15.0
TotoI23,2,I,10000000,15.0
TotoI33,3,I,10000000,15.0
TotoI43,4,I,10000000,15.0
TotoI53,5,I,10000000,15.0